InvoiceID,CustomerID,InvoiceDate,ProductCategory,Quantity,UnitPrice,TotalAmount,Channel,Region
INV20040,CUST040,2024-02-09 10:00,Grocery,8,4.99,39.92,In-Store,West
INV20041,CUST041,2024-02-10 10:00,Electronics,1,299.99,299.99,Online,North
INV20042,CUST042,2024-02-11 10:00,Apparel,2,39.99,79.98,In-Store,South
INV20043,CUST043,2024-02-12 10:00,Home,3,24.99,74.97,Online,East
INV20044,CUST044,2024-02-13 10:00,Beauty,4,12.99,51.96,In-Store,West
INV20045,CUST045,2024-02-14 10:00,Grocery,5,4.99,24.95,Online,North
INV20046,CUST046,2024-02-15 10:00,Electronics,6,299.99,1799.94,In-Store,South
INV20047,CUST047,2024-02-16 10:00,Apparel,7,39.99,279.93,Online,East
INV20048,CUST048,2024-02-17 10:00,Home,8,24.99,199.92,In-Store,West
INV20049,CUST049,2024-02-18 10:00,Beauty,1,12.99,12.99,Online,North
INV20050,CUST050,2024-02-19 10:00,Grocery,2,4.99,9.98,In-Store,South
INV20051,CUST001,2024-02-20 10:00,Electronics,3,299.99,899.97,Online,East
INV20052,CUST002,2024-02-21 10:00,Apparel,4,39.99,159.96,In-Store,West
INV20053,CUST003,2024-02-22 10:00,Home,5,24.99,124.95,Online,North
INV20054,CUST004,2024-02-23 10:00,Beauty,6,12.99,77.94,In-Store,South
INV20055,CUST005,2024-02-24 10:00,Grocery,7,4.99,34.93,Online,East
INV20056,CUST006,2024-02-25 10:00,Electronics,8,299.99,2399.92,In-Store,West
INV20057,CUST007,2024-02-26 10:00,Apparel,1,39.99,39.99,Online,North
INV20058,CUST008,2024-02-27 10:00,Home,2,24.99,49.98,In-Store,South
INV20059,CUST009,2024-02-28 10:00,Beauty,3,12.99,38.97,Online,East
INV20060,CUST010,2024-02-29 10:00,Grocery,4,4.99,19.96,In-Store,West
INV20061,CUST011,2024-03-01 10:00,Electronics,5,299.99,1499.95,Online,North
INV20062,CUST012,2024-03-02 10:00,Apparel,6,39.99,239.94,In-Store,South
INV20063,CUST013,2024-03-03 10:00,Home,7,24.99,174.93,Online,East
INV20064,CUST014,2024-03-04 10:00,Beauty,8,12.99,103.92,In-Store,West
INV20065,CUST015,2024-03-05 10:00,Grocery,1,4.99,4.99,Online,North
INV20066,CUST016,2024-03-06 10:00,Electronics,2,299.99,599.98,In-Store,South
INV20067,CUST017,2024-03-07 10:00,Apparel,3,39.99,119.97,Online,East
INV20068,CUST018,2024-03-08 10:00,Home,4,24.99,99.96,In-Store,West
INV20069,CUST019,2024-03-09 10:00,Beauty,5,12.99,64.95,Online,North
INV20070,CUST020,2024-03-10 10:00,Grocery,6,4.99,29.94,In-Store,South
INV20071,CUST021,2024-03-11 10:00,Electronics,7,299.99,2099.93,Online,East
INV20072,CUST022,2024-03-12 10:00,Apparel,8,39.99,319.92,In-Store,West
INV20073,CUST023,2024-03-13 10:00,Home,1,24.99,24.99,Online,North
INV20074,CUST024,2024-03-14 10:00,Beauty,2,12.99,25.98,In-Store,South
INV20075,CUST025,2024-03-15 10:00,Grocery,3,4.99,14.97,Online,East
INV20076,CUST026,2024-03-16 10:00,Electronics,4,299.99,1199.96,In-Store,West
INV20077,CUST027,2024-03-17 10:00,Apparel,5,39.99,199.95,Online,North
INV20078,CUST028,2024-03-18 10:00,Home,6,24.99,149.94,In-Store,South
INV20079,CUST029,2024-03-19 10:00,Beauty,7,12.99,90.93,Online,East
INV20080,CUST030,2024-03-20 10:00,Grocery,8,4.99,39.92,In-Store,West
INV20081,CUST031,2024-03-21 10:00,Electronics,1,299.99,299.99,Online,North
INV20082,CUST032,2024-03-22 10:00,Apparel,2,39.99,79.98,In-Store,South
INV20083,CUST033,2024-03-23 10:00,Home,3,24.99,74.97,Online,East
INV20084,CUST034,2024-03-24 10:00,Beauty,4,12.99,51.96,In-Store,West
INV20085,CUST035,2024-03-25 10:00,Grocery,5,4.99,24.95,Online,North
INV20086,CUST036,2024-03-26 10:00,Electronics,6,299.99,1799.94,In-Store,South
INV20087,CUST037,2024-03-27 10:00,Apparel,7,39.99,279.93,Online,East
INV20088,CUST038,2024-03-28 10:00,Home,8,24.99,199.92,In-Store,West
INV20089,CUST039,2024-03-29 10:00,Beauty,1,12.99,12.99,Online,North
INV20090,CUST040,2024-03-30 10:00,Grocery,2,4.99,9.98,In-Store,South
INV20091,CUST041,2024-03-31 10:00,Electronics,3,299.99,899.97,Online,East
INV20092,CUST042,2024-04-01 10:00,Apparel,4,39.99,159.96,In-Store,West
INV20093,CUST043,2024-04-02 10:00,Home,5,24.99,124.95,Online,North
INV20094,CUST044,2024-04-03 10:00,Beauty,6,12.99,77.94,In-Store,South
INV20095,CUST045,2024-04-04 10:00,Grocery,7,4.99,34.93,Online,East
INV20096,CUST046,2024-04-05 10:00,Electronics,8,299.99,2399.92,In-Store,West
INV20097,CUST047,2024-04-06 10:00,Apparel,1,39.99,39.99,Online,North
INV20098,CUST048,2024-04-07 10:00,Home,2,24.99,49.98,In-Store,South
INV20099,CUST049,2024-04-08 10:00,Beauty,3,12.99,38.97,Online,East
INV20100,CUST050,2024-04-09 10:00,Grocery,4,4.99,19.96,In-Store,West
INV20101,CUST001,2024-04-10 10:00,Electronics,5,299.99,1499.95,Online,North
INV20102,CUST002,2024-04-11 10:00,Apparel,6,39.99,239.94,In-Store,South
INV20103,CUST003,2024-04-12 10:00,Home,7,24.99,174.93,Online,East
INV20104,CUST004,2024-04-13 10:00,Beauty,8,12.99,103.92,In-Store,West
INV20105,CUST005,2024-04-14 10:00,Grocery,1,4.99,4.99,Online,North
INV20106,CUST006,2024-04-15 10:00,Electronics,2,299.99,599.98,In-Store,South
INV20107,CUST007,2024-04-16 10:00,Apparel,3,39.99,119.97,Online,East
INV20108,CUST008,2024-04-17 10:00,Home,4,24.99,99.96,In-Store,West
INV20109,CUST009,2024-04-18 10:00,Beauty,5,12.99,64.95,Online,North
INV20110,CUST010,2024-04-19 10:00,Grocery,6,4.99,29.94,In-Store,South
INV20111,CUST011,2024-04-20 10:00,Electronics,7,299.99,2099.93,Online,East
INV20112,CUST012,2024-04-21 10:00,Apparel,8,39.99,319.92,In-Store,West
INV20113,CUST013,2024-04-22 10:00,Home,1,24.99,24.99,Online,North
INV20114,CUST014,2024-04-23 10:00,Beauty,2,12.99,25.98,In-Store,South
INV20115,CUST015,2024-04-24 10:00,Grocery,3,4.99,14.97,Online,East
INV20116,CUST016,2024-04-25 10:00,Electronics,4,299.99,1199.96,In-Store,West
INV20117,CUST017,2024-04-26 10:00,Apparel,5,39.99,199.95,Online,North
INV20118,CUST018,2024-04-27 10:00,Home,6,24.99,149.94,In-Store,South
INV20119,CUST019,2024-04-28 10:00,Beauty,7,12.99,90.93,Online,East
INV20120,CUST020,2024-04-29 10:00,Grocery,8,4.99,39.92,In-Store,West
INV20121,CUST021,2024-04-30 10:00,Electronics,1,299.99,299.99,Online,North
INV20122,CUST022,2024-05-01 10:00,Apparel,2,39.99,79.98,In-Store,South
INV20123,CUST023,2024-05-02 10:00,Home,3,24.99,74.97,Online,East
INV20124,CUST024,2024-05-03 10:00,Beauty,4,12.99,51.96,In-Store,West
INV20125,CUST025,2024-05-04 10:00,Grocery,5,4.99,24.95,Online,North
INV20126,CUST026,2024-05-05 10:00,Electronics,6,299.99,1799.94,In-Store,South
INV20127,CUST027,2024-05-06 10:00,Apparel,7,39.99,279.93,Online,East
INV20128,CUST028,2024-05-07 10:00,Home,8,24.99,199.92,In-Store,West
INV20129,CUST029,2024-05-08 10:00,Beauty,1,12.99,12.99,Online,North
INV20130,CUST030,2024-05-09 10:00,Grocery,2,4.99,9.98,In-Store,South
INV20131,CUST031,2024-05-10 10:00,Electronics,3,299.99,899.97,Online,East
INV20132,CUST032,2024-05-11 10:00,Apparel,4,39.99,159.96,In-Store,West
INV20133,CUST033,2024-05-12 10:00,Home,5,24.99,124.95,Online,North
INV20134,CUST034,2024-05-13 10:00,Beauty,6,12.99,77.94,In-Store,South
INV20135,CUST035,2024-05-14 10:00,Grocery,7,4.99,34.93,Online,East
INV20136,CUST036,2024-05-15 10:00,Electronics,8,299.99,2399.92,In-Store,West
INV20137,CUST037,2024-05-16 10:00,Apparel,1,39.99,39.99,Online,North
INV20138,CUST038,2024-05-17 10:00,Home,2,24.99,49.98,In-Store,South
INV20139,CUST039,2024-05-18 10:00,Beauty,3,12.99,38.97,Online,East
INV20140,CUST040,2024-05-19 10:00,Grocery,4,4.99,19.96,In-Store,West
INV20141,CUST041,2024-05-20 10:00,Electronics,5,299.99,1499.95,Online,North
INV20142,CUST042,2024-05-21 10:00,Apparel,6,39.99,239.94,In-Store,South
INV20143,CUST043,2024-05-22 10:00,Home,7,24.99,174.93,Online,East
INV20144,CUST044,2024-05-23 10:00,Beauty,8,12.99,103.92,In-Store,West
INV20145,CUST045,2024-05-24 10:00,Grocery,1,4.99,4.99,Online,North
INV20146,CUST046,2024-05-25 10:00,Electronics,2,299.99,599.98,In-Store,South
INV20147,CUST047,2024-05-26 10:00,Apparel,3,39.99,119.97,Online,East
INV20148,CUST048,2024-05-27 10:00,Home,4,24.99,99.96,In-Store,West
INV20149,CUST049,2024-05-28 10:00,Beauty,5,12.99,64.95,Online,North
INV20150,CUST050,2024-05-29 10:00,Grocery,6,4.99,29.94,In-Store,South
INV20151,CUST001,2024-05-30 10:00,Electronics,7,299.99,2099.93,Online,East
INV20152,CUST002,2024-05-31 10:00,Apparel,8,39.99,319.92,In-Store,West
INV20153,CUST003,2024-06-01 10:00,Home,1,24.99,24.99,Online,North
INV20154,CUST004,2024-06-02 10:00,Beauty,2,12.99,25.98,In-Store,South
INV20155,CUST005,2024-06-03 10:00,Grocery,3,4.99,14.97,Online,East
INV20156,CUST006,2024-06-04 10:00,Electronics,4,299.99,1199.96,In-Store,West
INV20157,CUST007,2024-06-05 10:00,Apparel,5,39.99,199.95,Online,North
INV20158,CUST008,2024-06-06 10:00,Home,6,24.99,149.94,In-Store,South
INV20159,CUST009,2024-06-07 10:00,Beauty,7,12.99,90.93,Online,East
INV20160,CUST010,2024-06-08 10:00,Grocery,8,4.99,39.92,In-Store,West
INV20161,CUST011,2024-06-09 10:00,Electronics,1,299.99,299.99,Online,North
INV20162,CUST012,2024-06-10 10:00,Apparel,2,39.99,79.98,In-Store,South
INV20163,CUST013,2024-06-11 10:00,Home,3,24.99,74.97,Online,East
INV20164,CUST014,2024-06-12 10:00,Beauty,4,12.99,51.96,In-Store,West
INV20165,CUST015,2024-06-13 10:00,Grocery,5,4.99,24.95,Online,North
INV20166,CUST016,2024-06-14 10:00,Electronics,6,299.99,1799.94,In-Store,South
INV20167,CUST017,2024-06-15 10:00,Apparel,7,39.99,279.93,Online,East
INV20168,CUST018,2024-06-16 10:00,Home,8,24.99,199.92,In-Store,West
INV20169,CUST019,2024-06-17 10:00,Beauty,1,12.99,12.99,Online,North
INV20170,CUST020,2024-06-18 10:00,Grocery,2,4.99,9.98,In-Store,South
INV20171,CUST021,2024-06-19 10:00,Electronics,3,299.99,899.97,Online,East
INV20172,CUST022,2024-06-20 10:00,Apparel,4,39.99,159.96,In-Store,West
INV20173,CUST023,2024-06-21 10:00,Home,5,24.99,124.95,Online,North
INV20174,CUST024,2024-06-22 10:00,Beauty,6,12.99,77.94,In-Store,South
INV20175,CUST025,2024-06-23 10:00,Grocery,7,4.99,34.93,Online,East
INV20176,CUST026,2024-06-24 10:00,Electronics,8,299.99,2399.92,In-Store,West
INV20177,CUST027,2024-06-25 10:00,Apparel,1,39.99,39.99,Online,North
INV20178,CUST028,2024-06-26 10:00,Home,2,24.99,49.98,In-Store,South
INV20179,CUST029,2024-06-27 10:00,Beauty,3,12.99,38.97,Online,East
INV20180,CUST030,2024-06-28 10:00,Grocery,4,4.99,19.96,In-Store,West
INV20181,CUST031,2024-06-29 10:00,Electronics,5,299.99,1499.95,Online,North
INV20182,CUST032,2024-06-30 10:00,Apparel,6,39.99,239.94,In-Store,South
INV20183,CUST033,2024-07-01 10:00,Home,7,24.99,174.93,Online,East
INV20184,CUST034,2024-07-02 10:00,Beauty,8,12.99,103.92,In-Store,West
INV20185,CUST035,2024-07-03 10:00,Grocery,1,4.99,4.99,Online,North
INV20186,CUST036,2024-07-04 10:00,Electronics,2,299.99,599.98,In-Store,South
INV20187,CUST037,2024-07-05 10:00,Apparel,3,39.99,119.97,Online,East
INV20188,CUST038,2024-07-06 10:00,Home,4,24.99,99.96,In-Store,West
INV20189,CUST039,2024-07-07 10:00,Beauty,5,12.99,64.95,Online,North
INV20190,CUST040,2024-07-08 10:00,Grocery,6,4.99,29.94,In-Store,South
INV20191,CUST041,2024-07-09 10:00,Electronics,7,299.99,2099.93,Online,East
INV20192,CUST042,2024-07-10 10:00,Apparel,8,39.99,319.92,In-Store,West
INV20193,CUST043,2024-07-11 10:00,Home,1,24.99,24.99,Online,North
INV20194,CUST044,2024-07-12 10:00,Beauty,2,12.99,25.98,In-Store,South
INV20195,CUST045,2024-07-13 10:00,Grocery,3,4.99,14.97,Online,East
INV20196,CUST046,2024-07-14 10:00,Electronics,4,299.99,1199.96,In-Store,West
INV20197,CUST047,2024-07-15 10:00,Apparel,5,39.99,199.95,Online,North
INV20198,CUST048,2024-07-16 10:00,Home,6,24.99,149.94,In-Store,South
INV20199,CUST049,2024-07-17 10:00,Beauty,7,12.99,90.93,Online,East
INV20200,CUST050,2024-07-18 10:00,Grocery,8,4.99,39.92,In-Store,West
